make,model,year,mileage,fuelType,engineCapacity,price
Opel,Corsa,2008,222 059 km,Diesel,1 296 cm3,3 100
BMW,X3,2010,198 141 km,Diesel,1 995 cm3,7 299
Volkswagen,Golf,2016,156 000 km,Diesel,1 968 cm3,13 800
Nissan,Juke,2012,191 390 km,Diesel,1 461 cm3,7 199
Ford,Kuga,2016,166 200 km,Diesel,1 997 cm3,11 800
Smart,Forfour,2006,183 407 km,Benzina,1 124 cm3,2 399
Mazda,5,2008,110 500 km,Diesel,1 998 cm3,3 100
Opel,Astra,2010,191 428 km,Diesel,1 700 cm3,5 499
Volkswagen,Golf,2010,209 417 km,Benzina,1 390 cm3,5 399
BMW,X1,2011,312 687 km,Diesel,1 995 cm3,7 999
Mercedes-Benz,Sprinter,2008,372 000 km,Diesel,2 148 cm3,8 599
Volkswagen,Passat,2016,155 500 km,Benzina,1 984 cm3,15 990
Volvo,XC,2017,146 700 km,Diesel,1 969 cm3,18 290
Opel,Astra,2018,123 000 km,Diesel,1 598 cm3,8 490
Volvo,V40,2016,150 034 km,Diesel,1 969 cm3,10 700
Skoda,RAPID,2014,192 200 km,Diesel,1 600 cm3,6 399
BMW,X1,2013,298 000 km,Diesel,2 000 cm3,9 699
Volkswagen,Tiguan,2012,202 300 km,Diesel,2 000 cm3,9 650
BMW,Seria 3,2014,240 500 km,Diesel,2 000 cm3,9 999
Mercedes-Benz,C,2015,166 329 km,Diesel,2 143 cm3,16 689
Volkswagen,Passat,2015,165 530 km,Diesel,1 598 cm3,11 400
Mercedes-Benz,GLE,2016,133 000 km,Benzina,2 990 cm3,49 900
Volkswagen,Golf,2008,204 000 km,Benzina,1 390 cm3,3 999
Peugeot,308,2016,99 383 km,Diesel,1 560 cm3,8 489
Audi,A5,2013,217 000 km,Diesel,1 986 cm3,12 900
Audi,A4,2017,169 000 km,Diesel,1 968 cm3,13 990
Audi,A6,2017,165 000 km,Diesel,1 968 cm3,20 490
Audi,Q7,2015,160 000 km,Diesel,2 967 cm3,34 000
Renault,Megane,2015,50 363 km,Diesel,1 461 cm3,7 800
Renault,Laguna,2009,188 000 km,Diesel,2 000 cm3,5 299
Ford,Focus,2012,199 000 km,Diesel,1 600 cm3,4 999
Mercedes-Benz,GLE,2017,25 000 km,Diesel,2 143 cm3,38 998
Hyundai,ix35,2013,140 000 km,Diesel,1 685 cm3,8 990
