make,model,year,mileage,fuelType,engineCapacity,price
Mazda,3,2010,178 000 km,Benzina,1 598 cm3,5 299
BMW,X3,2017,46 549 km,Diesel,1 995 cm3,28 798
Audi,A4,2019,23 900 km,Diesel,1 968 cm3,29 375
Ford,Mondeo,2009,224 000 km,Diesel,1 998 cm3,3 990
Ford,Focus,2012,107 024 km,Diesel,1 589 cm3,5 300
Hyundai,ix35,2011,193 000 km,Diesel,1 995 cm3,8 990
Lexus,UX,2019,6 518 km,Hibrid,1 987 cm3,29 631
Renault,Clio,2016,222 000 km,Diesel,1 461 cm3,4 999
Ford,Mondeo,2016,82 000 km,Benzina,1 500 cm3,12 100
Volkswagen,Passat,2016,161 059 km,Diesel,1 598 cm3,10 490
Volkswagen,Tiguan,2019,30 000 km,Diesel,1 968 cm3,26 900
BMW,X5,2019,24 000 km,Diesel,2 993 cm3,70 500
Renault,Master,2002,256 328 km,Diesel,2 188 cm3,3 600
Volkswagen,Polo,2020,1 km,Benzina,999 cm3,11 499
Dacia,Logan,2016,77 000 km,Benzina + GPL,1 149 cm3,5 750
Audi,A4,2016,136 503 km,Diesel,1 968 cm3,16 489
Audi,A4,2018,124 000 km,Diesel,1 968 cm3,18 455
Audi,A4,2010,305 000 km,Diesel,1 968 cm3,8 600
Mercedes-Benz,S,2015,90 000 km,Diesel,2 987 cm3,37 900
Volkswagen,Passat,2013,247 000 km,Diesel,1 968 cm3,7 990
Mercedes-Benz,E,2010,275 000 km,Diesel,2 987 cm3,11 000
Skoda,Octavia,2017,58 982 km,Diesel,1 598 cm3,11 900
Volkswagen,Passat,2016,187 000 km,Diesel,1 968 cm3,17 640
Mazda,CX-3,2020,1 km,Benzina,1 998 cm3,20 159
Audi,Q3,2019,13 800 km,Benzina,1 498 cm3,30 990
Citroën,C1,2018,116 000 km,Benzina,998 cm3,7 850
Dacia,Duster,2018,72 219 km,Benzina,1 197 cm3,11 750
Dacia,Duster,2011,130 500 km,Diesel,1 500 cm3,6 850
Volkswagen,Golf,2011,249 000 km,Diesel,1 598 cm3,4 800
BMW,Seria 5,2017,170 000 km,Diesel,1 995 cm3,30 000
Opel,Vivaro,2004,581 000 km,Diesel,2 463 cm3,3 000
Ford,Fiesta,2018,100 000 km,Diesel,1 498 cm3,10 600
Jeep,Wrangler,2017,5 800 km,Diesel,2 776 cm3,35 000
BMW,Seria 5,2014,254 136 km,Diesel,1 995 cm3,15 750
BMW,Seria 3,2019,12 000 km,Benzina,1 998 cm3,33 000
Mini,Clubman,2017,185 000 km,Diesel,1 995 cm3,15 750
Ford,Focus,2007,196 000 km,Diesel,1 800 cm3,2 650
Jaguar,XE,2015,60 400 km,Diesel,1 999 cm3,18 200
Nissan,Qashqai,2010,196 000 km,Diesel,1 500 cm3,5 999
Opel,Astra,2015,120 587 km,Diesel,1 598 cm3,7 750
Lexus,Seria,2020,10 km,Hibrid,3 500 cm3,64 498
Renault,Megane,2013,139 000 km,Diesel,1 600 cm3,6 500
BMW,Seria 5,2009,219 700 km,Diesel,2 000 cm3,7 480
Volkswagen,Passat,2013,250 000 km,Diesel,1 968 cm3,7 990
BMW,Seria 7,2017,134 350 km,Diesel,2 896 cm3,49 990
Peugeot,508,2013,220 000 km,Hibrid,2 000 cm3,7 999
BMW,X5,2015,176 000 km,Diesel,1 995 cm3,22 490
BMW,Seria 3,2014,79 000 km,Diesel,1 995 cm3,15 800
Dacia,Duster,2018,71 722 km,Benzina,1 197 cm3,11 750
Mercedes-Benz,ML,2013,157 000 km,Diesel,3 000 cm3,24 800
Opel,Astra,2011,201 400 km,Diesel,1 300 cm3,4 250
Mercedes-Benz,C,2020,3 000 km,Benzina,1 497 cm3,54 621
Audi,A6,2014,107 000 km,Diesel,2 967 cm3,17 999
Mercedes-Benz,C,2017,33 000 km,Diesel,2 143 cm3,35 343
Ford,Fiesta,2016,85 000 km,Diesel,1 498 cm3,6 190
Ford,Fiesta,2019,31 000 km,Benzina,1 095 cm3,9 850
Dacia,Duster,2017,143 000 km,Diesel,1 461 cm3,9 200
Mercedes-Benz,GLC,2016,178 395 km,Diesel,2 143 cm3,25 900
Dacia,Logan,2019,29 564 km,Benzina,999 cm3,6 580
Kia,Sportage,2012,76 978 km,Benzina,1 998 cm3,12 900
Ford,Focus,2011,215 000 km,Diesel,1 600 cm3,4 390
Fiat,Doblo,2012,115 000 km,Benzina,1 400 cm3,3 999
BMW,X1,2012,195 000 km,Benzina,1 997 cm3,9 699
Skoda,RAPID,2019,19 770 km,Benzina,999 cm3,9 900
Audi,A1,2011,150 000 km,Diesel,1 596 cm3,5 499
Renault,Clio,2016,140 000 km,Diesel,1 461 cm3,6 000
BMW,Seria 3,2009,287 291 km,Diesel,1 994 cm3,7 290
Ford,Fiesta,2009,150 000 km,Benzina,1 286 cm3,2 850
Mercedes-Benz,S,2011,179 000 km,Diesel,3 000 cm3,12 490
Dacia,Duster,2012,110 000 km,Diesel,1 490 cm3,6 499
Mazda,CX-30,2020,1 km,Benzina,1 998 cm3,24 193
Audi,A3,2014,209 000 km,Diesel,1 968 cm3,12 950
Volvo,S40,2007,168 876 km,Diesel,1 600 cm3,4 000
Mini,Countryman,2018,10 000 km,Diesel,1 995 cm3,28 560
Mercedes-Benz,Vito,2007,274 000 km,Diesel,2 148 cm3,4 490
BMW,Seria 5,2012,177 000 km,Diesel,1 995 cm3,14 450
Peugeot,407,2004,264 842 km,Diesel,1 997 cm3,2 790
Audi,A6,2017,99 800 km,Diesel,2 967 cm3,33 915
Volkswagen,Tiguan,2014,225 143 km,Diesel,1 968 cm3,13 990
Dodge,Challenger,2020,10 km,Benzina,6 166 cm3,91 980
Volkswagen,Passat,2015,198 000 km,Diesel,1 598 cm3,10 990
Audi,A6,2013,197 000 km,Diesel,1 968 cm3,10 990
Volkswagen,Passat,2010,271 120 km,Diesel,1 598 cm3,3 800
BMW,Seria 5,2018,45 417 km,Diesel,1 995 cm3,36 900
Kia,Stonic,2018,99 990 km,Benzina,998 cm3,9 990
Mercedes-Benz,GLK,2009,250 000 km,Diesel,2 143 cm3,9 900
BMW,X1,2016,191 000 km,Diesel,1 995 cm3,16 900
Peugeot,5008,2018,74 350 km,Diesel,1 998 cm3,20 999
Dacia,Duster,2018,69 991 km,Benzina,1 197 cm3,11 750
BMW,X5,2005,297 000 km,Diesel,2 993 cm3,7 200
Nissan,Patrol,2004,215 244 km,Diesel,3 000 cm3,9 900
Smart,Fortwo,2019,50 km,Benzina,999 cm3,15 351
Smart,Fortwo,2019,50 km,Benzina,898 cm3,17 255
Bentley,Mulsanne,2020,2 404 km,Benzina,6 752 cm3,255 731
Smart,Fortwo,2019,50 km,Benzina,999 cm3,14 875
Smart,Fortwo,2019,50 km,Benzina,999 cm3,14 875
Jaguar,F-Pace,2020,50 km,Diesel,1 999 cm3,49 690
Audi,A8,2018,48 000 km,Diesel,2 967 cm3,54 394
Dacia,Logan,2018,74 000 km,Diesel,1 461 cm3,8 780
Smart,Fortwo,2019,50 km,Benzina,999 cm3,14 875
Smart,Fortwo,2019,50 km,Benzina,999 cm3,15 351
Mercedes-Benz,GLC,2016,164 000 km,Diesel,2 143 cm3,24 690
Smart,Fortwo,2019,50 km,Benzina,999 cm3,14 875
Mercedes-Benz,A,2017,79 000 km,Diesel,1 950 cm3,16 800
Smart,Fortwo,2019,50 km,Benzina,999 cm3,14 875
Smart,Fortwo,2019,50 km,Benzina,999 cm3,14 875
Smart,Fortwo,2019,50 km,Benzina,999 cm3,15 351
Land,Rover,2016,75 000 km,Diesel,2 993 cm3,61 999
Volvo,S40,2008,200 000 km,Diesel,1 560 cm3,3 500
Land,Rover,2019,50 km,Diesel,2 998 cm3,122 233
Land,Rover,2019,50 km,Diesel,2 998 cm3,101 743
Skoda,Octavia,2009,230 000 km,Benzina,1 390 cm3,5 350
Citroën,Nemo,2010,163 884 km,Diesel,1 399 cm3,3 199
Volkswagen,Passat,2018,181 550 km,Diesel,1 986 cm3,12 150
Citroën,C4,2015,192 000 km,Diesel,1 999 cm3,9 990
Audi,A8,2012,198 870 km,Diesel,2 967 cm3,15 800
Mercedes-Benz,Vito,2016,132 100 km,Diesel,2 143 cm3,17 700
Volkswagen,Polo,2007,164 000 km,Benzina,1 198 cm3,1 999
Opel,Corsa,2020,1 km,Benzina,1 199 cm3,11 450
Volkswagen,Passat,2012,146 754 km,Benzina + GPL,1 800 cm3,8 999
Volkswagen,Golf,2011,153 010 km,Benzina,1 200 cm3,5 690
Opel,Astra,2004,116 000 km,Benzina,1 400 cm3,2 990
BMW,Seria 7,2016,90 000 km,Benzina,4 395 cm3,50 000
Ford,Mondeo,2015,195 000 km,Diesel,2 000 cm3,10 550
Dacia,Logan,2018,97 000 km,Diesel,1 461 cm3,8 380
Suzuki,Grand,2005,228 000 km,Benzina,1 993 cm3,4 798
Audi,A8,2018,49 000 km,Diesel,2 967 cm3,54 145
Mazda,CX-5,2014,190 000 km,Diesel,2 200 cm3,9 800
Audi,A4,2008,230 000 km,Diesel,1 968 cm3,5 500
Dacia,Logan,2016,150 481 km,Diesel,1 461 cm3,5 200
Mitsubishi,ASX,2015,126 140 km,Diesel,2 268 cm3,13 950
Skoda,Fabia,2003,178 000 km,Benzina,1 198 cm3,1 599
Kia,Sorento,2015,129 922 km,Diesel,2 199 cm3,17 600
Ford,Kuga,2018,67 619 km,Diesel,1 997 cm3,17 750
Volkswagen,Golf,2019,24 500 km,Diesel,1 598 cm3,20 408
Peugeot,307,2004,200 000 km,Benzina,1 587 cm3,1 750
Lexus,Seria,2020,9 km,Hibrid,2 500 cm3,44 990
Opel,Meriva,2005,197 500 km,Benzina,1 364 cm3,1 750
Hyundai,I30,2019,21 700 km,Benzina,1 368 cm3,12 911
Audi,Q5,2016,62 630 km,Diesel,1 968 cm3,26 900
Volkswagen,Caddy,2008,224 000 km,Benzina,1 598 cm3,6 499
Mercedes-Benz,Vito,2011,184 294 km,Diesel,2 148 cm3,7 999
Seat,Cordoba,2009,225 619 km,Benzina,1 390 cm3,2 990
Audi,A6,2014,206 821 km,Diesel,1 968 cm3,11 990
Volvo,XC,2011,222 250 km,Diesel,2 400 cm3,10 990
Alfa,Romeo,2006,169 000 km,Diesel,1 910 cm3,3 950
Seat,Ibiza,2007,143 508 km,Benzina,1 390 cm3,2 990
Audi,A3,2009,163 863 km,Benzina,1 798 cm3,6 680
Skoda,Octavia,2012,165 000 km,Diesel,1 598 cm3,5 900
Lexus,Seria,2013,135 000 km,Benzina,3 450 cm3,20 500
Toyota,RAV4,2007,187 000 km,Benzina,1 998 cm3,5 500
Toyota,Avensis,2012,128 900 km,Diesel,1 998 cm3,7 699
Audi,Q3,2019,3 980 km,Diesel,1 968 cm3,33 900
Audi,A4,2020,5 000 km,Diesel,1 968 cm3,43 911
Audi,Q8,2020,9 500 km,Diesel,2 967 cm3,95 000
Dacia,Duster,2018,68 840 km,Benzina,1 197 cm3,11 750
Porsche,911,2019,8 402 km,Benzina,2 981 cm3,134 351
Mercedes-Benz,S,2020,10 km,Benzina,2 999 cm3,159 496
Infiniti,FX,2010,188 506 km,Diesel,2 993 cm3,12 688
Mercedes-Benz,GLC,2020,10 km,Hibrid,1 950 cm3,61 927
Dacia,Logan,2019,13 500 km,Benzina,999 cm3,6 750
Opel,Zafira,2012,221 100 km,Diesel,1 956 cm3,6 350
Mazda,CX-5,2016,181 123 km,Diesel,2 191 cm3,14 998
Dacia,Logan,2018,71 810 km,Diesel,1 461 cm3,7 300
Volvo,XC,2010,193 000 km,Diesel,2 400 cm3,11 990
BMW,Seria 3,2017,63 165 km,Benzina,1 998 cm3,27 013
Mercedes-Benz,GLC,2020,1 km,Diesel,1 950 cm3,51 809
Mazda,CX-30,2020,1 km,Benzina,1 998 cm3,23 441
Toyota,Land,2003,218 031 km,Diesel,2 982 cm3,8 790
Hyundai,Tucson,2017,170 000 km,Diesel,1 700 cm3,13 350
Volkswagen,Polo,2004,200 000 km,Benzina,1 198 cm3,1 999
Skoda,Octavia,2016,137 483 km,Diesel,1 598 cm3,8 990
Hyundai,Santa,2013,130 100 km,Diesel,2 199 cm3,14 880
Fiat,Tipo,2019,1 km,Benzina,1 368 cm3,9 690
Suzuki,Liana,2005,162 000 km,Diesel,1 398 cm3,1 999
Skoda,Fabia,2008,154 219 km,Benzina,1 198 cm3,3 190
Volkswagen,Transporter,2010,323 000 km,Diesel,1 986 cm3,9 044
Volkswagen,Tiguan,2010,200 000 km,Diesel,1 995 cm3,7 799
Opel,Corsa,2011,116 000 km,Benzina,1 229 cm3,3 600
Opel,Astra,2009,219 000 km,Diesel,1 689 cm3,2 990
Ford,Mondeo,2016,115 000 km,Diesel,1 997 cm3,16 989
Mercedes-Benz,C,2019,18 772 km,Diesel,1 950 cm3,34 390
Renault,Symbol,2007,144 000 km,Benzina,1 390 cm3,1 900
Volkswagen,Golf,2006,172 593 km,Benzina,1 390 cm3,3 690
Volkswagen,Tiguan,2019,19 855 km,Diesel,1 968 cm3,26 400
Hyundai,ix20,2012,169 000 km,Benzina,1 396 cm3,4 284
Opel,Astra,2020,1 km,Benzina,1 199 cm3,14 936
Citroën,C4,2014,214 000 km,Diesel,1 600 cm3,7 990
Skoda,Fabia,2011,155 404 km,Diesel,1 199 cm3,4 950
Audi,Q3,2019,900 km,Benzina,1 498 cm3,30 990
Land,Rover,2013,204 000 km,Diesel,2 179 cm3,11 300
BMW,X2,2019,14 429 km,Diesel,1 995 cm3,29 137
Nissan,Juke,2017,211 290 km,Diesel,1 461 cm3,9 690
Renault,Clio,2011,222 000 km,Diesel,1 461 cm3,3 699
Volkswagen,Passat,2018,226 000 km,Diesel,1 968 cm3,15 470
Volkswagen,Golf,2002,185 000 km,Diesel,1 896 cm3,2 250
Skoda,Octavia,2009,271 095 km,Diesel,1 896 cm3,3 790
Opel,Insignia,2019,4 km,Benzina,1 490 cm3,23 900
Ford,Puma,2020,2 km,Benzina,999 cm3,18 400
Volkswagen,Passat,2012,198 000 km,Diesel,1 968 cm3,11 490
Skoda,Octavia,2015,143 700 km,Diesel,1 560 cm3,11 990
Volkswagen,Golf,2004,300 000 km,Diesel,1 968 cm3,3 000
Mercedes-Benz,ML,2007,289 000 km,Diesel,2 998 cm3,8 400
Mitsubishi,ASX,2012,87 000 km,Diesel,1 798 cm3,8 990
Volkswagen,Passat,2012,165 000 km,Benzina,1 984 cm3,12 390
Volkswagen,Tiguan,2012,208 000 km,Diesel,1 968 cm3,11 990
Audi,A6,2009,252 000 km,Diesel,2 000 cm3,8 199
Mercedes-Benz,GLC,2018,66 000 km,Diesel,2 143 cm3,39 781
Land,Rover,2014,187 000 km,Diesel,2 179 cm3,18 200
Skoda,Octavia,2014,112 000 km,Benzina,1 197 cm3,9 520
Ford,Focus,2010,237 649 km,Diesel,1 560 cm3,3 699
Skoda,Octavia,2017,138 000 km,Diesel,1 598 cm3,10 850
Volkswagen,Caravelle,2016,32 000 km,Diesel,1 968 cm3,39 865
Renault,Koleos,2008,239 253 km,Benzina,2 487 cm3,4 600
Mercedes-Benz,S,2018,27 500 km,Diesel,2 925 cm3,68 045
Renault,Talisman,2016,149 220 km,Diesel,1 598 cm3,12 750
Porsche,Panamera,2018,32 000 km,Benzina,3 998 cm3,103 411
Audi,Q5,2016,197 000 km,Diesel,2 000 cm3,17 750
BMW,X3,2016,134 300 km,Diesel,1 995 cm3,26 773
BMW,M5,2019,12 700 km,Benzina,4 395 cm3,87 999
Porsche,Macan,2017,98 000 km,Diesel,2 993 cm3,35 000
Dacia,Logan,2016,100 822 km,Diesel,1 461 cm3,5 990
Renault,Clio,2016,171 254 km,Diesel,1 461 cm3,5 200
Ford,Focus,2014,177 600 km,Diesel,2 000 cm3,5 500
Citroën,C-Crosser,2008,215 650 km,Diesel,2 179 cm3,4 990
Ford,Courier,2019,1 km,Diesel,1 498 cm3,15 735
Ford,Mondeo,2019,6 723 km,Hibrid,1 999 cm3,22 990
Volkswagen,Golf,2015,245 000 km,Diesel,1 598 cm3,6 800
Audi,A6,2012,185 000 km,Diesel,1 968 cm3,11 950
Audi,A6,2009,231 000 km,Diesel,1 968 cm3,8 600
Audi,A8,2015,148 000 km,Diesel,3 000 cm3,25 800
Mercedes-Benz,S,2018,33 600 km,Diesel,2 925 cm3,61 110
Mazda,CX-30,2020,1 km,Benzina,1 998 cm3,27 249
Volkswagen,Passat,2016,88 500 km,Diesel,1 968 cm3,18 802
Opel,Corsa,2011,157 120 km,Benzina,1 229 cm3,3 600
Porsche,Cayenne,2016,61 000 km,Benzina,3 604 cm3,59 000
Mercedes-Benz,GLA,2015,149 707 km,Diesel,1 461 cm3,16 490
Opel,Antara,2015,100 179 km,Diesel,2 231 cm3,10 950
BMW,Seria 5,2003,276 500 km,Diesel,2 926 cm3,3 900
Hyundai,Santa,2016,61 475 km,Diesel,2 199 cm3,22 500
Ford,Mondeo,2019,28 800 km,Diesel,1 995 cm3,23 400
Skoda,Octavia,2014,239 000 km,Diesel,1 968 cm3,7 860
BMW,Seria 7,2016,144 000 km,Diesel,2 993 cm3,39 450
Opel,Astra,2018,104 390 km,Diesel,1 598 cm3,10 289
Renault,Kadjar,2017,177 235 km,Diesel,1 599 cm3,10 850
BMW,X1,2010,175 000 km,Diesel,1 995 cm3,8 990
Dacia,Duster,2018,75 241 km,Benzina,1 197 cm3,11 898
Ford,EcoSport,2020,1 km,Benzina,999 cm3,15 300
Ford,Focus,2012,136 000 km,Benzina,998 cm3,4 750
Skoda,Octavia,2012,275 000 km,Diesel,1 968 cm3,5 950
Ford,Kuga,2016,61 049 km,Diesel,1 997 cm3,16 900
Toyota,Land,2007,217 000 km,Diesel,2 982 cm3,15 000
Opel,Cascada,2015,95 000 km,Diesel,1 956 cm3,15 500
Mercedes-Benz,GLE,2019,10 km,Diesel,2 925 cm3,80 801
Opel,Corsa,2020,1 km,Benzina,1 199 cm3,14 587
Honda,Civic,2012,103 000 km,Diesel,2 199 cm3,9 990
Mazda,CX-5,2020,1 km,Benzina,2 488 cm3,37 709
Volkswagen,Golf,2015,220 500 km,Diesel,1 598 cm3,7 996
Land,Rover,2004,150 000 km,Diesel,2 000 cm3,2 950
Opel,Crossland,2020,1 km,Benzina,1 199 cm3,16 000
Volkswagen,Golf,2013,172 200 km,Diesel,1 595 cm3,5 150
Volkswagen,Touareg,2009,232 000 km,Diesel,3 000 cm3,7 000
Renault,Megane,2018,23 696 km,Benzina,1 197 cm3,11 590
Mazda,CX-30,2020,1 km,Benzina,2 000 cm3,29 840
BMW,X3,2005,300 000 km,Diesel,1 995 cm3,5 490
Jaguar,XE,2019,2 000 km,Diesel,1 999 cm3,40 168
Jaguar,F-Pace,2020,1 000 km,Benzina,1 997 cm3,53 571
Volkswagen,Golf,2007,169 074 km,Benzina,1 598 cm3,3 650
Renault,Laguna,2002,125 000 km,Benzina,1 998 cm3,1 150
Toyota,Yaris,2018,49 000 km,Hibrid,1 497 cm3,11 800
Kia,Niro,2019,39 490 km,Hibrid,1 580 cm3,25 950
Dacia,Duster,2018,73 131 km,Benzina,1 197 cm3,11 898
Mini,Cooper,2016,54 200 km,Benzina,1 998 cm3,18 784
Ford,Focus,2018,183 000 km,Diesel,1 998 cm3,7 999
Toyota,C-HR,2019,90 000 km,Benzina,1 197 cm3,16 500
Opel,Astra,2016,194 000 km,Diesel,1 600 cm3,7 800
Seat,Toledo,2016,99 400 km,Diesel,1 598 cm3,6 999
BMW,X5,2019,30 000 km,Diesel,2 993 cm3,64 999
Audi,Q5,2017,183 000 km,Diesel,1 998 cm3,25 300
Audi,A4,2019,17 505 km,Diesel,1 968 cm3,29 698
Volkswagen,Passat,2015,214 500 km,Diesel,1 968 cm3,12 852
Hyundai,I30,2016,220 000 km,Diesel,1 396 cm3,6 550
Chevrolet,Captiva,2008,200 000 km,Diesel,1 991 cm3,5 799
Mercedes-Benz,C,2015,125 000 km,Diesel,2 143 cm3,21 260
Dacia,Logan,2016,110 276 km,Diesel,1 461 cm3,5 150
Porsche,Cayenne,2018,20 000 km,Benzina,3 598 cm3,54 000
Mercedes-Benz,E,2017,66 500 km,Diesel,1 950 cm3,39 389
Opel,Insignia,2014,118 359 km,Diesel,1 956 cm3,7 980
BMW,Seria 5,2014,191 000 km,Diesel,1 995 cm3,14 800
Skoda,RAPID,2016,132 519 km,Diesel,1 422 cm3,6 900
BMW,Seria 5,2009,288 616 km,Diesel,2 993 cm3,8 950
Renault,Megane,2006,100 013 km,Benzina,1 998 cm3,9 500
Citroën,C5,2010,130 000 km,Diesel,1 986 cm3,6 000
Land,Rover,2016,51 000 km,Diesel,3 000 cm3,43 900
BMW,Seria 5,2010,299 200 km,Diesel,1 996 cm3,7 250
Nissan,Qashqai,2017,141 300 km,Diesel,1 600 cm3,11 790
Mercedes-Benz,E,2016,58 000 km,Diesel,2 200 cm3,17 500
Mercedes-Benz,CLS,2015,198 301 km,Diesel,2 143 cm3,20 990
Volkswagen,Golf,2018,63 000 km,Diesel,2 000 cm3,13 500
Seat,Altea,2011,171 428 km,Diesel,1 598 cm3,5 990
Mercedes-Benz,S,2017,86 000 km,Diesel,2 987 cm3,55 970
Mercedes-Benz,CLA,2014,73 000 km,Benzina,1 595 cm3,18 990
Volkswagen,Passat,2003,190 000 km,Diesel,1 896 cm3,2 199
Mercedes-Benz,B,2013,214 044 km,Diesel,1 798 cm3,7 950
BMW,X1,2010,182 126 km,Diesel,1 995 cm3,8 990
Opel,Combo,2016,103 110 km,Diesel,1 248 cm3,7 800
Volkswagen,Golf,2012,92 400 km,Benzina,1 200 cm3,6 790
BMW,Seria 5,2011,225 000 km,Diesel,1 995 cm3,9 650
Peugeot,206,2005,97 000 km,Benzina,1 124 cm3,1 200
Peugeot,208,2020,1 km,Benzina,1 199 cm3,13 220
Volkswagen,Crafter,2020,1 km,Diesel,1 968 cm3,28 884
Ford,Focus,2001,250 000 km,Diesel,1 753 cm3,750
Volkswagen,Passat,2008,239 000 km,Diesel,1 900 cm3,3 080
Nissan,Micra,2019,25 990 km,Diesel,1 461 cm3,9 500
Audi,Q3,2018,17 385 km,Diesel,2 000 cm3,25 990
BMW,X5,2011,152 500 km,Diesel,2 993 cm3,14 898
Skoda,Citigo,2019,29 335 km,Benzina,999 cm3,8 300
Volkswagen,Golf,2011,225 000 km,Diesel,1 598 cm3,5 490
Lexus,Seria,2019,14 530 km,Hibrid,2 494 cm3,39 899
Opel,Astra,2005,218 369 km,Diesel,1 686 cm3,1 890
BMW,X5,2016,86 314 km,Hibrid,1 997 cm3,44 018
Opel,Zafira,2006,216 497 km,Diesel,1 900 cm3,2 450
Volkswagen,Touareg,2007,231 120 km,Diesel,2 967 cm3,8 990
Volkswagen,Passat,2012,182 512 km,Diesel,1 600 cm3,6 200
BMW,Seria 4,2016,85 000 km,Diesel,2 993 cm3,23 900
Audi,A6,2010,245 000 km,Diesel,2 700 cm3,7 450
Skoda,Fabia,2009,296 442 km,Benzina,1 198 cm3,2 500
Dacia,Duster,2020,6 km,Diesel,1 461 cm3,20 900
Ford,Transit,2004,399 287 km,Diesel,1 998 cm3,4 100
Mercedes-Benz,Viano,2012,279 032 km,Diesel,2 143 cm3,11 900
Mercedes-Benz,E,2019,4 000 km,Diesel,1 950 cm3,66 628
Mercedes-Benz,A,2019,2 260 km,Benzina,1 332 cm3,27 423
Ford,Transit,2018,12 300 km,Diesel,1 499 cm3,20 700
Volkswagen,Passat,2015,219 000 km,Diesel,1 968 cm3,9 790
Mercedes-Benz,Vito,2017,230 000 km,Diesel,1 600 cm3,16 500
Volkswagen,Jetta,2006,226 076 km,Diesel,1 896 cm3,4 350
BMW,Seria 1,2012,247 500 km,Diesel,1 995 cm3,6 650
Kia,Sportage,2017,150 000 km,Diesel,1 995 cm3,18 370
Skoda,Octavia,2010,195 814 km,Diesel,1 598 cm3,5 490
Ford,EcoSport,2020,5 km,Benzina,999 cm3,16 400
Dacia,Duster,2020,9 km,Diesel,1 461 cm3,20 900
Audi,A7,2012,225 000 km,Diesel,3 000 cm3,14 500
Volkswagen,Amarok,2015,150 080 km,Diesel,1 968 cm3,13 290
Ford,Focus,2016,125 850 km,Diesel,1 498 cm3,8 490
Mercedes-Benz,C,2018,79 154 km,Diesel,2 143 cm3,28 950
BMW,X5,2020,7 700 km,Benzina,4 395 cm3,139 051
Toyota,Avensis,2005,109 000 km,Benzina,1 794 cm3,4 900
Land,Rover,2011,200 000 km,Diesel,3 600 cm3,11 700
Peugeot,308,2013,150 000 km,Diesel,1 560 cm3,6 500
BMW,Seria 3,2008,208 818 km,Diesel,1 995 cm3,4 990
Renault,Megane,2004,278 000 km,Diesel,1 890 cm3,2 250
Mercedes-Benz,Sprinter,2016,70 000 km,Diesel,2 143 cm3,29 900
Mercedes-Benz,GLE,2017,110 000 km,Diesel,2 143 cm3,39 900
Mercedes-Benz,E,2009,267 000 km,Diesel,2 987 cm3,5 499
Volkswagen,Transporter,2014,201 939 km,Diesel,1 968 cm3,12 490
Mercedes-Benz,ML,2015,230 000 km,Diesel,2 987 cm3,21 850
Audi,A3,2014,102 000 km,Diesel,1 968 cm3,14 500
Opel,Insignia,2009,167 600 km,Diesel,2 000 cm3,7 350
Mini,Cooper,2007,123 200 km,Benzina,1 600 cm3,4 999
Mercedes-Benz,E,2014,235 400 km,Diesel,2 200 cm3,12 650
BMW,Seria 3,2014,248 600 km,Diesel,2 000 cm3,14 950
Jeep,Compass,2011,195 500 km,Diesel,2 200 cm3,6 799
Volkswagen,Passat,2002,322 500 km,Diesel,1 896 cm3,2 399
Opel,Corsa,2014,171 300 km,Benzina,1 200 cm3,3 999
Skoda,Superb,2015,221 500 km,Diesel,2 000 cm3,9 999
Opel,Insignia,2012,168 500 km,Diesel,2 000 cm3,6 999
Dacia,Logan,2017,63 200 km,Benzina,998 cm3,5 999
Volkswagen,Tiguan,2009,321 000 km,Diesel,1 968 cm3,7 500
Skoda,Octavia,2016,120 979 km,Diesel,1 598 cm3,10 989
Volkswagen,Golf,2010,164 000 km,Benzina,1 390 cm3,4 800
Renault,Megane,2005,130 000 km,Diesel,1 900 cm3,2 900
BMW,X1,2010,151 000 km,Diesel,1 995 cm3,8 990
Opel,Insignia,2017,39 978 km,Benzina,1 490 cm3,14 700
Renault,Megane,2017,30 500 km,Diesel,1 598 cm3,15 499
Volkswagen,Polo,2015,61 000 km,Diesel,1 422 cm3,7 900
Renault,Modus,2011,202 000 km,Benzina,1 200 cm3,2 450
Renault,Clio,2005,164 000 km,Diesel,1 600 cm3,1 000
Skoda,RAPID,2014,147 226 km,Benzina,1 197 cm3,5 700
Skoda,Octavia,2009,119 647 km,Benzina,1 595 cm3,3 500
Ford,Focus,2008,135 732 km,Benzina,1 596 cm3,3 100
Audi,A6,2007,320 000 km,Diesel,1 968 cm3,5 050
Ford,Mondeo,2004,290 000 km,Diesel,1 998 cm3,1 399
Nissan,X-Trail,2017,50 000 km,Diesel,1 596 cm3,16 500
Ford,Mondeo,2019,20 125 km,Benzina,1 498 cm3,18 900
Dacia,Dokker,2015,72 311 km,Diesel,1 461 cm3,6 500
Toyota,Auris,2013,52 250 km,Hibrid,1 798 cm3,12 200
Audi,S8,2015,173 000 km,Benzina,3 993 cm3,46 500
Volkswagen,Golf,2006,237 800 km,Diesel,1 968 cm3,3 380
Audi,A4,2017,183 402 km,Diesel,1 968 cm3,15 000
Citroën,Saxo,2003,109 000 km,Diesel,1 527 cm3,5 500RON                                                                Negociabil
Infiniti,FX,2012,155 000 km,Diesel,2 967 cm3,15 400
Volkswagen,Golf,2016,217 000 km,Diesel,1 968 cm3,13 300
Toyota,RAV4,2014,99 500 km,Diesel,1 998 cm3,13 990
Ford,EcoSport,2018,28 500 km,Benzina,998 cm3,13 030
Mercedes-Benz,GLE,2017,66 000 km,Diesel,2 987 cm3,44 800
